Lp.,Nazwa,Stan,Zas. wyd. bil. Razem,Zas. wyd. bil. A+B,Zas. wyd. bil. C,Wydobycie
1,Bogdaj-Uciechów,E,13.94,13.94,-,0.40
2,Czeszów,E,1.00,1.00,-,0.01
3,Dębina,R,0.29,0.29,-,-
4,Góra,E,0.56,"
0.56",-,0.07
5,Grochowice,E,3.51,3.51,-,0.15
6,Kandlewo,R,0.47,0.11,0.36,-
7,Kulów,R,"
0.05",0.05,-,-
8,Naratów,E,0.08,0.08,-,0.05
9,Niechlów,E,"
0.34",0.34,-,0.04
10,Pakosław,R,1.00,1.00,-,-
11,Ślubów,E,0.01,0.01,-,0.02
12,Tarchały (d.g.+cz.s.),E,"
4.71",4.71,-,0.05
13,Wilcze-czerwony spąg.,R,1.27,1.27,-,-
14,Wilków,E,2.27,2.27,-,0.20
15,Wysocko Małe E,E,0.21,0.21,-,0.02
